Word	Count
gun	98
people	74
students	70
neveragain	62
march	56
violence	54
trump	47
parkland	47
today	47
guns	45
nra	40
kids	38
school	30
student	30
support	29
movement	28
change	27
maga	26
dc	25
lives	25
young	24
hey	23
day	23
world	22
time	22
good	21
proud	21
country	21
stand	20
shooting	20
control	20
high	19
town	19
work	18
join	18
left	18
hope	18
watch	17
mass	16
vote	16
part	15
saturday	15
war	15
news	15
resist	15
amendment	14
hall	14
youth	14
laws	14
give	14
resistance	14
event	14
powerful	14
rights	14
gunreformnow	14
marching	14
feel	14
stoneman	13
show	13
video	13
sign	13
america	13
years	13
amazing	13
douglas	12
child	12
state	12
washington	12
city	12
speech	12
friends	12
retweet	12
guncontrol	12
london's	11
msdstrong	11
justice	11
stabbings	11
americans	11
davidhogg	11
top	11
important	11
enoughisenough	11
black	11
protest	11
fight	11
survivors	11
marched	10
city=no	10
happened	10
remember	10
afghanistan	10
group	10
democracy	10
leading	10
history	10
president	10
check	10
read	10
police	10
protect	10
king	10
happy	10
love	10
d.c	9
social	9
theresistance	9
children	9
stop	9
rt	9
crowd	9
youtube	9
report	9
law	9
experiences	9
issue	9
organizers	9
guncontrolnow	9
action	9
brother	9
gop	9
we’re	9
victims	9
moment	9
free	9
making	8
thousands	8
citizens	8
epa	8
gave	8
assault	8
forget	8
call	8
incredible	8
american	8
mt	8
participation	8
demand	8
clear	8
activists	8
john	8
led	8
year	8
real	8
gunviolence	8
future	8
rally	8
teens	8
sinclairstrike	8
marjory	8
great	8
government	8
related	8
photo	8
tcot	8
schools	8
farmers	8
shootings	8
defundpp	8
civil	7
elections	7
solidarity	7
problem	7
life	7
politicians	7
weekend	7
create	7
family	7
deaths	7
corrupt	7
paul	7
hands	7
listen	7
house	7
marches	7
chicago	7
true	7
gunreform	7
protesters	7
blacklivesmatter	7
sense	7
common	7
killed	7
obama	7
tomorrow	7
talking	7
words	7
hold	7
called	7
lost	7
streets	6
strong	6
white	6
florida	6
ted	6
weapons	6
represent	6
leaders	6
townhallforourlives	6
facts	6
media	6
standing	6
issues	6
luther	6
activist	6
speak	6
voices	6
latest	6
organized	6
breaking	6
stay	6
ready	6
beautiful	6
night	6
everyday	6
calling	6
democratic	6
ingraham	6
terrorist	6
story	6
states	6
year-old	6
you’re	6
emma	6
meeting	6
wow	6
can’t	6
survivor	6
talk	6
honored	6
running	6
trumprussia	6
open	6
money	6
gunsense	6
signs	6
armed	6
scottpruitt	6
care	5
unalienable	5
waiting	5
marco	5
attack	5
beginning	5
blog	5
repeal	5
los	5
naomi	5
wasn’t	5
small	5
paid	5
minutes	5
demanding	5
follow	5
public	5
hero	5
continue	5
martin	5
montpelier	5
weeks	5
st	5
donated	5
hundreds	5
policies	5
laura	5
hard	5
full	5
friday	5
kid	5
week	5
share	5
u.s	5
fox	5
wanted	5
buy	5
permit	5
aren’t	5
stands	5
fighting	5
spread	5
holding	5
