id,content,,
9.82797338841436E+017,"Daily Dose of Diego 

I always thought politics was a job for old guys with gray hair, nothing to do with me. 
It w… https://t.co/fAlaMAEgPy",,
9.82797333338448E+017,"@HeinsDan @CRufsvold So far, you gained one. I also have deep passion for #EqualRightsForAll #LGBT #BLM #Veterans… https://t.co/vtbCnZ67Jh",,
9.82797266456142E+017,"RT @soloyochapin: @CarlosGSmith the bill does reads \\""in a conspicuous place\\""...

#MarchForOurLives #ParklandStudentsSpeak #EmmaGonzalez #Ne…",,
9.82797221434413E+017,"RT @TheJordanRachel: After hearing about the Muenster attack, the only logical way to handle this is to raise the driving age to 21... or t…",,
9.82797199183512E+017,@ChetPowell We will get through this if we #VoteThemOut and continue to #Resist Remember that we are the majority.… https://t.co/56C6E9jfa8,,
9.82797176001577E+017,"RT @AynRandPaulRyan: This South Carolina US Representative, @RalphNorman, took out a loaded handgun at a meeting with @MomsDemand today.…",,
9.82797166841418E+017,"RT @soloyochapin: @CarlosGSmith the bill does reads \\""in a conspicuous place\\""...

#MarchForOurLives #ParklandStudentsSpeak #EmmaGonzalez #Ne…",,
9.8279711824613E+017,"RT @ajburns76: Some markers and a bourbon later...
#MarchForOurLives https://t.co/2Y081CQpRH",,
9.82797104388198E+017,RT @NetflixMulhouse: #TheResistance #maga #florida #trumptrain #WomensMarch #TrumpRussia  #CorruptToTheCore #GOPTraitors #GunReformNow #Mar…,,
9.82797094846054E+017,"RT @ScottRechler: Freedom isn't free when our children are unable to go to school, a concert, church, or the mall, without the fear of bein…",,
9.82797026533388E+017,"RT @cameron_kasky: A formal, well-produced, totally not unscripted message from #MarchForOurLives https://t.co/Velxih8q3B",,
9.82796928189641E+017,"RT @TheJordanRachel: After hearing about the Muenster attack, the only logical way to handle this is to raise the driving age to 21... or t…",,
9.82796818068189E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82796805225243E+017,Top 10 Things Leonard Lance Will Be Doing Instead of Attending Gun Safety Town Hall With Students… https://t.co/msWs28JrAx,,
9.82796802293367E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.8279675314457E+017,RT @ViktoriaLColvin: Parkland Victim’s Pro-Trump Family Banned From Speaking At #MarchForOurLives https://t.co/N88GRP5eUn,,
9.82796746781684E+017,"RT @AynRandPaulRyan: This South Carolina US Representative, @RalphNorman, took out a loaded handgun at a meeting with @MomsDemand today.…",,
9.82796743271174E+017,RT @justinbieber: Cameron good talking to you last night. All of your bravery is amazing. I stand with you guys. #march24 #marchforourlives…,,
9.82796640510759E+017,RT @RareCandace: Important to note that Anthony took bullets to protect his fellow students in the 1200 building. He did not speak at #Marc…,,
9.827966284102E+017,RT @DrDinD: The 1st amendment to the Constitution  Guarantees  protected freedom of speech for all citizens including teenagers. For you to…,,
9.82796623246835E+017,@KXAN_News #Defend2A &amp wake up to who is funding this professionally organized &amp  well funded anti gun movement.… https://t.co/ym4BNmqNkO,,
9.82796590606881E+017,"RT @IWillRedPillU: President Trump to Skip the ''So Fake'' Washington Correspondents Dinner ������
Liberals Losing Their Minds-
#AQuietPlace #Fr…",,
9.82796582880854E+017,"RT @Ryan_Deitsch: Happy Saturday!

We live in a world that can destroy itself in less time than it takes to fix a severed carotid artery.…",,
9.82796566468682E+017,@saida_dahir @ronaldramesra1 @davidhogg111 @cameron_kasky @Sarahchadwickk @Emma4Change @MattxRed Great job girl ������������������… https://t.co/wIWg9qtJi6,,
9.82796562534318E+017,"RT @jskylerinc: \\""officers beat their wives or girlfriends at nearly double the rate of the rest of the population, &amp; trying to control that…",,
9.82796559346577E+017,RT @MitziEpstein: Teachers and parents told stories of events when children in our schools  felt very frightened by fire drills and by loud…,,
9.82796541869076E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82796498164318E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82796495945478E+017,"RT @realFireNunes: .@JanzforCongress speaking at the #marchforourlives #fresno 

That stiff off to right is #FlatDevin @DevinNunes 

@JoyAn…",,
9.82796466510008E+017,RT @gerfingerpoken: George Washington Would Have Owned an AR-15 - American Thinker #2A #2ADefenders #DefendTheSecond #AR15 #gunssavelives #…,,
9.8279643722963E+017,RT @instagram: The most liked photo on Instagram in support of the #MarchForOurLives movement is...  https://t.co/ys04LXBTuC,,
9.8279640042027E+017,"RT @Dsp09876: Klo banyak yang suka gw keluarin versi nude nya
#EarthHour #IniAksiku #connect2earth Minggu #MarchForOurLives  #GoGegaria #Ea…",,
9.827963936802E+017,"RT @hucortezz: #MarchForOurLives happens everyday on various US Army Posts, US Air Force Bases, Gangplanks of US Navy Ship and US Coast Gua…",,
9.82796382640652E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.8279636947463E+017,"RT @Dsp09876: Kamu lebih suka gaya jongkok atau gaya berdiri? 
#EarthHour #IniAksiku #connect2earth Minggu #MarchForOurLives  #GoGegaria #E…",,
9.8279631876556E+017,"RT @Dsp09876: Selingan, fenomena dari para pemilik #ToketBagus di luar sana
#EarthHour #IniAksiku #connect2earth Minggu #MarchForOurLives …",,
9.82796277917221E+017,One step at a time. We’re getting there. #MarchForOurLives https://t.co/1cSZhlLhr1,,
9.82796277661381E+017,"RT @Dsp09876: Ini aksiku, mana aksimu? Part 2
#EarthHour #IniAksiku #connect2earth Minggu #MarchForOurLives   #GoGegaria #EarthHour2018 htt…",,
9.82796252512309E+017,"RT @Dsp09876: Ini aksiku, mana aksimu?
#EarthHour #IniAksiku #connect2earth Minggu #MarchForOurLives  #GoGegaria https://t.co/mhr8khfTa8",,
9.82796211513168E+017,"RT @TheEllenShow: 11-year-old Naomi Wadler lit the internet up with her incredible speech at the #MarchForOurLives. Today she’s here, and I…",,
9.82796123919266E+017,"#NRA member:
\\""I'm on the opposite side of many issues addressed tonight. But I support universal background checks.… https://t.co/Jbz8h3MZXA",,
9.82796101173605E+017,RT @KNCHRI: Archie is running against the SC congressman who brought out his loaded gun when meeting with @MomsDemand #MarchForOurLives htt…,,
9.82796081577779E+017,RT @rachelrose094: This kid wins the sign game #marchforourlives https://t.co/yCqrChwf9J,,
9.82796065236837E+017,RT @gerfingerpoken: George Washington Would Have Owned an AR-15 - American Thinker #2A #2ADefenders #DefendTheSecond #AR15 #gunssavelives #…,,
9.82795951130731E+017,RT @Emma4Change: I have absolutely no words... Thank you not only for your service but for standing with us as we #MarchForOurLives tomorro…,,
9.82795943538917E+017,RT @JackPosobiec: Counted at least 30 busses for #MarchForOurLives - where does all this funding come from? https://t.co/EcVxcVARnq,,
9.82795937872396E+017,RT @KathyLette: Julian Lennon is 55 tomorrow - that's 15 years older than his father lived to be. Imagine.... if the USA had tighter gun la…,,
9.8279591170431E+017,@TomiLahren weak rip on #marchforourLives 4 only being against NRA= lame bcuz #MAGA @potus accnts r kneejerk AGAIns… https://t.co/ZtP3w7OrfX,,
